ZipCode,county,state,Adult,Geriatric
44657,Stark County,OH,87.6068376068376,NA
45014,Butler County,OH,14.957264957264957,24.210526315789473
45342,Montgomery County,OH,36.75213675213676,NA
45373,Miami County,OH,6.837606837606838,NA
45458,Montgomery County,OH,36.324786324786324,NA
45806,Allen County,OH,NA,60.526315789473685
73132,Oklahoma County,OK,NA,44.73684210526316
73505,Comanche County,OK,NA,6.315789473684211
74012,Tulsa County,OK,57.26495726495726,NA
74145,Tulsa County,OK,NA,62.10526315789474
74467,Wagoner County,OK,NA,63.68421052631579
97223,Washington County,OR,28.63247863247863,NA
97321,Linn County,OR,NA,28.421052631578945
97361,Polk County,OR,NA,91.57894736842105
97502,Jackson County,OR,37.60683760683761,NA
97754,Crook County,OR,45.2991452991453,NA
97760,Jefferson County,OR,96.58119658119658,NA
15042,Beaver County,PA,NA,76.84210526315789
15104,Allegheny County,PA,73.07692307692307,NA
15243,Allegheny County,PA,NA,37.368421052631575
15401,Fayette County,PA,8.974358974358974,13.157894736842104
16438,Erie County,PA,95.72649572649573,NA
16506,Erie County,PA,NA,79.47368421052632
16635,Blair County,PA,NA,69.47368421052632
16830,Clearfield County,PA,NA,57.36842105263158
17057,Dauphin County,PA,18.803418803418804,NA
17319,York County,PA,NA,99.47368421052632
18018,Lehigh County,PA,NA,15.263157894736842
18210,Carbon County,PA,79.48717948717949,NA
18407,Lackawanna County,PA,45.72649572649573,NA
18702,Luzerne County,PA,8.547008547008547,NA
19047,Bucks County,PA,NA,30.526315789473685
19053,Bucks County,PA,NA,52.63157894736842
19142,Philadelphia County,PA,13.247863247863249,NA
19147,Philadelphia County,PA,20.51282051282051,NA
19151,Philadelphia County,PA,14.102564102564102,NA
19320,Chester County,PA,10.256410256410255,NA
19335,Chester County,PA,17.94871794871795,NA
19380,Chester County,PA,NA,5.7894736842105265
19446,Montgomery County,PA,15.384615384615385,11.052631578947368
19462,Montgomery County,PA,44.871794871794876,NA
02864,Providence County,RI,58.97435897435898,NA
02886,Kent County,RI,NA,12.631578947368421
02893,Kent County,RI,NA,43.684210526315795
29349,Spartanburg County,SC,NA,26.842105263157894
29376,Spartanburg County,SC,93.16239316239316,NA
29650,Greenville County,SC,73.93162393162393,NA
29651,Greenville County,SC,22.22222222222222,NA
29801,Aiken County,SC,NA,53.68421052631579
29944,Hampton County,SC,NA,97.89473684210527
37210,Davidson County,TN,58.119658119658126,NA
37334,Lincoln County,TN,NA,51.578947368421055
37725,Jefferson County,TN,52.13675213675214,NA
37766,Campbell County,TN,33.76068376068376,NA
37865,Sevier County,TN,NA,41.05263157894737
38053,Shelby County,TN,NA,35.26315789473684
38134,Shelby County,TN,35.47008547008547,NA
38242,Henry County,TN,46.58119658119658,NA
38351,Henderson County,TN,NA,47.89473684210526
75007,Denton County,TX,46.15384615384615,39.473684210526315
75022,Denton County,TX,82.90598290598291,NA
75028,Denton County,TX,55.55555555555556,NA
75077,Denton County,TX,NA,48.94736842105264
75134,Dallas County,TX,65.38461538461539,NA
75459,Grayson County,TX,94.01709401709401,NA
76034,Tarrant County,TX,NA,70
76104,Tarrant County,TX,NA,70.52631578947368
76140,Tarrant County,TX,NA,72.63157894736842
76209,Denton County,TX,NA,83.15789473684211
