ZipCode,county,state,Pediatric,Adult,Retirement,Geriatric
48169,Livingston County,MI,NA,55.73770491803278,80.41431261770245,30.666666666666664
48170,Wayne County,MI,NA,19.12568306010929,NA,NA
48174,Wayne County,MI,NA,NA,18.267419962335214,NA
48178,Oakland County,MI,NA,NA,16.57250470809793,NA
48187,Wayne County,MI,NA,NA,NA,8.666666666666668
48195,Wayne County,MI,NA,NA,NA,16.666666666666664
48197,Washtenaw County,MI,NA,NA,NA,46.33333333333333
48213,Wayne County,MI,NA,NA,NA,50.33333333333333
48223,Wayne County,MI,NA,49.18032786885246,NA,NA
48227,Wayne County,MI,NA,5.46448087431694,NA,NA
48230,Wayne County,MI,NA,NA,40.48964218455744,80.33333333333333
48235,Wayne County,MI,NA,NA,5.4613935969868175,NA
48236,Wayne County,MI,NA,NA,NA,40.666666666666664
48306,Oakland County,MI,NA,NA,25.800376647834273,NA
48309,Oakland County,MI,NA,NA,29.37853107344633,NA
48323,Oakland County,MI,NA,NA,47.26930320150659,NA
48375,Oakland County,MI,NA,NA,54.4256120527307,NA
48382,Oakland County,MI,NA,NA,71.1864406779661,NA
48430,Genesee County,MI,NA,NA,23.91713747645951,NA
